,Document,Page,Sentence
140,China_2006.pdf,11,"In the next 15 years, Chinas S & T undertakings will be deployed as follows: 1 ), In light of our countrys concrete conditions and needs, identify a number of priority areas break through some major technological snags so as to raise the nations"
141,China_2006.pdf,11, Overall S & T support
142,China_2006.pdf,11,", This Outline identifies 11 priority areas for economic and social development, from which 68 priority topics of clearly defined missions and possible technical breakthrough in near term will be selected"
143,China_2006.pdf,11, 2 ) Implement some special major projects that are in line with national objectives and will lead to the leaping development or fill up a blank
144,China_2006.pdf,11, The Outline makes the arrangement for total of 16 special major projects
145,China_2006.pdf,11, 3 ) To respond to future challenges
146,China_2006.pdf,11, Advance deployment will be made for frontier technologies and basic research topics in order to ensure sustained innovative capability and lead future economic and social development
147,China_2006.pdf,11, - The Outline selects 27 frontier in 8 technological fields and 18 basic scientific issues as priorities
148,China_2006.pdf,11, It also proposes to implement four major scientific research
149,China_2006.pdf,11," 4 ) Deepen the S & T system reform by perfecting relevant policies and measures, increasing S & T investment, strengthening the buildup of S & T talents and promoting the creation of a national innovation system"
150,China_2006.pdf,11," In order to provide reliable support for the nation to become an innovation-oriented society, Strategic priorities are identified according to the urgent needs for building a well-to-do society"
151,China_2006.pdf,11," International S & T development trends and the nations overall, strength"
152,China_2006.pdf,11," 1 ) Energy, water resources and environmental protection"
153,China_2006.pdf,11, Related technologies are selected as priorities in an effort to address major bottleneck issues in the economic and social development
154,China_2006.pdf,11," ) Efforts should be made to grasp the rare opportunities presented by continued strong development of information technology and advanced materials, making proprietary intellectual property rights in equipment, manufacturing and information industries"
155,China_2006.pdf,11, A major breakthrough point for enhancing the nations industrial competitiveness
156,China_2006.pdf,11," Biotechnology is selected as a priority for the future development of the high-tech industry, together with enhanced biotechnological applications to agriculture, industry, population and health"
157,China_2006.pdf,12, 4 ) Accelerate the development of aerospace and marine 
158,China_2006.pdf,12," 5 ) Strengthen basic research and frontier technology development, particularly interdisciplinary research, Main Areas And Priority Topics: "
159,China_2006.pdf,12,The nations S & T development shall be planned and deployed according to the principle of coordinated arrangement and advancement with due consideration to priority areas and topics so as to provide full and forceful support for addressing urgent issues in economic and social development
160,China_2006.pdf,12, Priority areas refer to such industries and sectors that are both critical to economic and social development and national security and in dire need of S & T support
161,China_2006.pdf,12," Priority topics within the priority areas are defined as urgently needed technology clusters that have clearly defined missions, sound technical foundations and promising prospects for breakthroughs in the near term"
162,China_2006.pdf,12," The principles for selecting priority topics are 1 ) topics that are desirable, for breaking up bottleneck constraints and for enhancing the sustainability of economic growth, 2 ) topics that are desirable for mastering key and enabling technologies and for improving core industrial competitiveness"
163,China_2006.pdf,12," 3 ) topics that are desirable for addressing major public good S & T issues and raising the capability in providing public services and 4 ) topics that are desirable for the development of dual-use technologies, designed to enhance the capability in ensuring national security, Energy"
164,China_2006.pdf,12,Energy is of crucial strategic importance to the national economy
165,China_2006.pdf,12," Our country is currently suffering from sharp discrepancies between energy supply and demand, an irrational energy structure and low energy efficiency with a predominantly coal-based primary energy consumption resulting in severe environmental pollution"
166,China_2006.pdf,12, Over the next 15 years meeting
167,China_2006.pdf,12, The fast growing demand for energy and for its clean and efficient utilization constitutes a major challenge for the development in energy-related science and technology Development paths
168,China_2006.pdf,12, 1 ) Take energy saving as a top priority and reduce energy consumption
169,China_2006.pdf,12," Overcoming technological snags, critical energy saving in major energy, consuming sectors and vigorously develop technologies for energy saving buildings so as to significantly improve efficiency in primary and end use of energy"
170,China_2006.pdf,12, 2 ) Increase energy supply by promoting a diversified energy structure
171,China_2006.pdf,12,", While raising the technological level of Oil-Gas utilization and hydroelectric power, it is encouraged to vigorously develop nuclear energy technology to acquire indigenous technology development capability in nuclear power"
172,China_2006.pdf,12," Strive for breakthroughs in renewable energy, including wind energy, solar energy and biomass energy and associated scale"
173,China_2006.pdf,12, 3 ) Promote clean and efficient use of coal
174,China_2006.pdf,12, In order to reduce environmental pollution
175,China_2006.pdf,12,", It is encouraged to vigorously develop clean, efficient and safe coal exploration and aim at the world"
176,China_2006.pdf,12, 4 ) Strengthen the assimilation and absorption of imported energy technologies and associated re-innovation
177,China_2006.pdf,12, Master core technologies in building major equipment for coal-fired and nuclear power
178,China_2006.pdf,12, 5 ) Raise the technological capability of optimizing regional energy
179,China_2006.pdf,13," Priorities will be given to developing advanced and reliable power, transmission and distribution technologies to realize large volume, long distance and efficient power transmission, "
180,China_2006.pdf,13," Priority topics, ( 1 ) Industrial energy efficiency Priorities will be given to research on and development of, energy-saving technologies and equipment"
181,China_2006.pdf,13," For major high energy consumption sectors, including process industries such as metallurgical chemical industry and transportation, industries"
182,China_2006.pdf,13," Developing energy-saving technologies for mechanical and electronic products, highly energy-efficient long-life cycle LED products"
183,China_2006.pdf,13,", Develop comprehensive utilization technologies at different energy gradients, ( 2 ) Clean efficient coal development and utilization coal"
184,China_2006.pdf,13, Liquefaction and gasification-based co-generation 
185,China_2006.pdf,13,"Priorities will be placed on developing efficient mining technologies and equipment and efficient power generation technology and equipment, including heavy duty gas turbines, integrated gasification combined cycle ( IGCC ) high-parameter supercritical generators and large supercritical circulating fluidized beds, ( CFB )"
186,China_2006.pdf,13," It is also encouraged to develop transformation technologies for coal liquefaction coal gasification, coal, chemistry, coal gasification, based polygeneration and technologies, and equipment for comprehensive control and utilization of pollutants derived from coal burning"
187,China_2006.pdf,13, ( 3 ) Oil and gas prospecting development and utilization under complex geological conditions
188,China_2006.pdf,13," Priorities will be given to the development of technologies for oil-gas prospecting in complex environment and rock strata technologies for efficient and scale development of low grade oil-gas resources, technologies for increasing oil recovery in old oil fields and technologies for prospecting and mining"
189,China_2006.pdf,13," Deep oil-gas reserves, ( 4 ), Low-cost large-scale development and utilization of renewable energy resources"
190,China_2006.pdf,13," Emphasis will be on the development of large wind power, generators, construction technologies and equipment for coastal and inland wind fields, as well as wind energy"
191,China_2006.pdf,13," Intensive areas in Western China, cost-effective technologies for solar photovoltaic batteries, technologies for solar-based power generation, technologies for built-in solar energy building structures and technologies for developing and utilizing biomass and geothermal energy"
192,China_2006.pdf,13,", ( 5 ) Safeguards of super large electricity transmission and distribution networks"
193,China_2006.pdf,13," Priorities will be to develop technologies and equipment for long distance and large volume DC transmission and for super high voltage, AC transmission"
194,China_2006.pdf,13,", Developing technologies for batch power grid and associated transmission and distribution power, quality monitoring and control and safe power supply for large Internet networks"
195,China_2006.pdf,13," For west-to-east, electric power, diversion project technologies for automated grid dispatch system and technologies and systems for efficient transmission and distribution, management"
196,China_2006.pdf,13," 2Water and Mineral Resources, Water and mineral resources constitute an important material basis for the sustainable economic and social development"
197,China_2006.pdf,14," Our country suffers from serious shortage of water and mineral resources, a low rate of comprehensive utilization of resources such as mineral resources and "
198,China_2006.pdf,14,"irrigation water, which far below that of internationally advanced levels"
199,China_2006.pdf,14,", With complex geological conditions for resources, prospecting and increasing difficulties"
200,China_2006.pdf,14," There is an urgent need for technologies that can improve resources, prospecting and utilization and raise the level of resources"
201,China_2006.pdf,14," Development paths, 1 ), Assign priority to resources saving"
202,China_2006.pdf,14," The focus will be research on technologies for agricultural, water saving and urban cyclic, water utilization and technologies for trans-basin water, diversion rainfall and flood water utilization and sea water"
203,China_2006.pdf,14, 2 ) Overcome barriers of complex geological conditions so as to expand the existing resources
204,China_2006.pdf,14, Priorities will be placed on studying mine formation mechanism and develop technologies for deep-mine evaluation and efficient prospecting and fast prospecting technologies for mineral deposits under complex geological conditions in regions such as the Qinghai-Tibet Plateau
205,China_2006.pdf,14, Striving to discover a number of large backup resource bases for additional Resources supply
206,China_2006.pdf,14, Develop technologies for efficient mining and comprehensive utilization in order to enhance comprehensive utilization of water and mineral resources
